시설명,위도,경도,시설용도분류,도로명주소,기타,설명,종류
꿈동산어린이공원,37.650288,127.03686,FU_BI,서울특별시 도봉구 도봉로110나길 99,,산책과 휴식을 위한 공간,자연/휴식
미화어린이공원,37.654945,127.03969,FU_BI,서울특별시 도봉구 도봉로 564,,산책과 휴식을 위한 공간,자연/휴식
꿈동산어린이공원,37.57329,127.04584,FU_BI,서울특별시 동대문구 황물로 42,,산책과 휴식을 위한 공간,자연/휴식
새움어린이공원,37.57076,127.048676,FU_BI,서울특별시 동대문구 천호대로55길 11,,산책과 휴식을 위한 공간,자연/휴식
동산어린이공원,37.566967,127.05754,FU_BI,서울특별시 동대문구 전농로2나길 7,,산책과 휴식을 위한 공간,자연/휴식
우산각어린이공원,37.57345,127.02443,FU_BI,서울특별시 동대문구 천호대로4길 22,,산책과 휴식을 위한 공간,자연/휴식
강일공원,37.56955,127.17451,FU_BI,서울특별시 강동구 아리수로97길 68,,산책과 휴식을 위한 공간,자연/휴식
능골근린공원,37.556427,127.174545,FU_BI,,,산책과 휴식을 위한 공간,자연/휴식
벌말공원,37.560326,127.17666,FU_BI,서울특별시 강동구 아리수로94길 72,,산책과 휴식을 위한 공간,자연/휴식
동명공원,37.561466,127.16493,FU_BI,서울특별시 강동구 아리수로78길 23,,산책과 휴식을 위한 공간,자연/휴식
샘터공원,37.561546,127.15907,FU_BI,,,산책과 휴식을 위한 공간,자연/휴식
방죽공원,37.558132,127.15808,FU_BI,서울특별시 강동구 고덕로 295-45,,산책과 휴식을 위한 공간,자연/휴식
늘벗근린공원,37.48957,127.05716,FU_BI,,,산책과 휴식을 위한 공간,자연/휴식
일자산공원,37.53302,127.15136,FU_BI,서울특별시 강동구 동남로 660,,산책과 휴식을 위한 공간,자연/휴식
상일공원,37.54755,127.168396,FU_BI,서울특별시 강동구 상암로79길 88,,산책과 휴식을 위한 공간,자연/휴식
솜다래공원,37.55368,127.14127,FU_BI,서울특별시 강동구 고덕로38길 8,,산책과 휴식을 위한 공간,자연/휴식
암사공원,37.556423,127.14172,FU_BI,서울특별시 강동구 고덕로 131,,산책과 휴식을 위한 공간,자연/휴식
오동근린공원,37.629242,127.03305,FU_BI,,,산책과 휴식을 위한 공간,자연/휴식
솔밭근린공원,37.65296,127.0119,FU_BI,서울특별시 강북구 삼양로 561,,산책과 휴식을 위한 공간,자연/휴식
공암나루,37.569897,126.85034,FU_BI,서울특별시 강서구 허준로5길 15,,역할 정보가 없습니다.,기타
서울식물원,37.568172,126.832985,FU_BI,,,산책과 휴식을 위한 공간,식물원
방화근린공원,37.581966,126.81326,FU_BI,,,산책과 휴식을 위한 공간,자연/휴식
대치2단지상가,37.493477,127.07579,FU_BA,서울특별시 강남구 개포로109길 9,,다양한 상업 활동이 이루어지는 곳,쇼핑센터
로즈데일오피스텔,37.487328,127.10314,FU_BA,서울특별시 강남구 광평로 280,,역할 정보가 없습니다.,기타
김세중미술관,37.542038,126.963875,FU_BC,서울특별시 용산구 효창원로70길 35,,여가활동을 위한 공간,미술관
롯데백화점 강남점,37.49706,127.0536,FU_BA,서울특별시 강남구 도곡로 401,,다양한 상업 활동이 이루어지는 곳,기타
수서종합상가,37.49027,127.10109,FU_BA,서울특별시 강남구 광평로51길 49,,다양한 상업 활동이 이루어지는 곳,기타
역삼서해더블루,37.493,127.039116,FU_BA,서울특별시 강남구 논현로63길 16,,역할 정보가 없습니다.,기타
이마트 가양점,37.557953,126.862274,FU_BA,서울특별시 강서구 양천로 559,폐점,생활용품을 구매하는 곳,쇼핑/유통
신원아침도시마인상가,37.52646,127.049675,FU_BA,서울특별시 강남구 도산대로85길 30,,다양한 상업 활동이 이루어지는 곳,기타
